108.162.192.127:443#SG 电信优选[101ms]
162.159.43.179:443#SG 电信优选[118ms]
172.64.52.237:443#JP 电信优选[119ms]
108.162.198.182:443#JP 电信优选[120ms]
172.64.52.183:443#JP 电信优选[121ms]
172.64.53.32:443#JP 电信优选[121ms]
162.159.44.84:443#JP 电信优选[122ms]
172.64.52.78:443#JP 电信优选[123ms]
172.64.52.15:443#JP 电信优选[123ms]
162.159.38.175:443#JP 电信优选[125ms]
162.159.39.50:443#JP 电信优选[125ms]
162.159.39.65:443#JP 电信优选[125ms]
162.159.38.184:443#JP 电信优选[126ms]
162.159.44.59:443#JP 电信优选[127ms]
162.159.44.112:443#JP 电信优选[129ms]
172.64.52.133:443#JP 电信优选[132ms]
162.159.38.44:443#JP 电信优选[134ms]
162.159.45.231:443#JP 电信优选[136ms]
162.159.38.252:443#JP 电信优选[138ms]
108.162.195.163:443#SG 电信优选[140ms]
108.162.192.92:443#SG 电信优选[149ms]
172.64.33.168:443#SG 电信优选[155ms]
162.159.133.56:443#DE 电信优选[180ms]
162.159.35.176:443#SG 电信优选[180ms]
162.159.229.220:443#DE 电信优选[191ms]
162.159.234.38:443#US 电信优选[207ms]
172.64.49.3:443#SG 电信优选[215ms]
162.159.16.235:443#SG 电信优选[225ms]
162.159.36.238:443#SG 电信优选[234ms]
172.64.77.172:443#DE 电信优选[237ms]
108.162.193.148:443#SG 电信优选[238ms]
162.159.35.221:443#SG 电信优选[239ms]
172.64.48.169:443#SG 电信优选[249ms]
162.159.46.55:443#SG 电信优选[255ms]
162.159.42.117:443#SG 电信优选[259ms]
162.159.36.242:443#SG 电信优选[278ms]
162.159.35.223:443#SG 电信优选[285ms]
108.162.192.208:443#SG 电信优选[289ms]
172.64.48.102:443#SG 电信优选[358ms]
172.64.49.124:443#SG 电信优选[391ms]
162.159.43.194:443#SG 电信优选[420ms]
172.64.48.225:443#SG 电信优选[428ms]
162.159.41.40:443#SG 电信优选[442ms]
162.159.224.108:443#US 电信优选[446ms]
162.159.43.186:443#SG 电信优选[481ms]
162.159.42.140:443#SG 电信优选[488ms]
